Certification Course,Gender,Department,Height(CM),Weight(KG),10th Mark,12th Mark,college mark,hobbies,daily studing time,prefer to study in,salary expectation,Do you like your degree?,career_willing,social medai & video,Travelling Time,Stress Level,Financial Status,part-time job
No,Female,Civil,175,81,82,84,78,Gaming,>4 hrs,Morning,<3 LPA,Yes,25%,<1 hr,<30 min,Medium,Middle,No
No,Male,IT,163,45,56,90,79,Gaming,1-2 hrs,Morning,<3 LPA,Yes,50%,<1 hr,1-2 hrs,High,Good,Yes
No,Male,Civil,157,85,65,56,76,Gaming,<1 hr,Morning,<3 LPA,No,25%,1-3 hrs,30-60 min,High,Poor,Yes
Yes,Female,CS,160,63,63,76,82,Travelling,1-2 hrs,Morning,<3 LPA,Yes,75%,1-3 hrs,<30 min,Low,Good,No
Yes,Male,CS,171,56,55,78,66,Travelling,<1 hr,Night,3-5 LPA,Yes,25%,<1 hr,<30 min,Medium,Good,No
No,Female,Civil,164,62,88,50,68,Travelling,<1 hr,Morning,<3 LPA,Yes,25%,<1 hr,1-2 hrs,High,Good,No
No,Female,ENTC,161,83,79,76,60,Reading,2-4 hrs,Night,>8 LPA,Yes,50%,<1 hr,<30 min,Low,Poor,Yes
No,Male,CS,161,56,81,61,74,Travelling,2-4 hrs,Morning,<3 LPA,Yes,100%,>5 hrs,1-2 hrs,High,Good,No
No,Male,ENTC,159,57,57,71,84,Travelling,>4 hrs,Evening,<3 LPA,Yes,75%,<1 hr,30-60 min,Low,Middle,No
No,Female,ENTC,156,78,72,72,82,Travelling,2-4 hrs,Night,5-8 LPA,No,50%,1-3 hrs,<30 min,High,Middle,Yes
Yes,Male,IT,150,69,59,66,76,Music,>4 hrs,Evening,<3 LPA,No,50%,<1 hr,<30 min,Medium,Good,No
No,Female,ENTC,156,50,76,73,82,Sports,>4 hrs,Night,<3 LPA,No,75%,<1 hr,<30 min,Medium,Good,No
No,Male,IT,170,56,71,91,87,Gaming,2-4 hrs,Night,3-5 LPA,Yes,75%,3-5 hrs,<30 min,Medium,Poor,No
No,Male,IT,152,82,66,76,81,Gaming,2-4 hrs,Night,3-5 LPA,Yes,25%,3-5 hrs,30-60 min,Medium,Good,Yes
Yes,Female,CS,154,59,84,53,71,Gaming,2-4 hrs,Night,3-5 LPA,Yes,100%,<1 hr,1-2 hrs,Medium,Poor,Yes
Yes,Male,IT,164,45,78,70,60,Gaming,2-4 hrs,Morning,3-5 LPA,Yes,50%,3-5 hrs,30-60 min,Medium,Good,No
Yes,Female,CS,169,57,68,69,80,Gaming,1-2 hrs,Morning,3-5 LPA,Yes,25%,3-5 hrs,1-2 hrs,Low,Middle,No
Yes,Female,Mechanical,189,70,91,77,73,Reading,2-4 hrs,Morning,>8 LPA,Yes,50%,3-5 hrs,1-2 hrs,Low,Good,No
Yes,Male,IT,175,45,78,94,83,Reading,2-4 hrs,Morning,3-5 LPA,No,50%,3-5 hrs,<30 min,Medium,Middle,Yes
Yes,Male,CS,181,67,94,65,64,Gaming,1-2 hrs,Night,5-8 LPA,No,75%,3-5 hrs,1-2 hrs,High,Middle,No
No,Male,CS,172,84,71,91,67,Gaming,2-4 hrs,Evening,<3 LPA,Yes,50%,3-5 hrs,30-60 min,Low,Poor,No
Yes,Female,Mechanical,189,71,84,54,84,Travelling,1-2 hrs,Evening,>8 LPA,No,50%,3-5 hrs,>2 hrs,High,Middle,No
No,Female,Mechanical,155,86,70,82,80,Reading,2-4 hrs,Night,3-5 LPA,Yes,50%,>5 hrs,<30 min,High,Middle,No
Yes,Male,CS,157,53,74,72,69,Travelling,>4 hrs,Evening,5-8 LPA,Yes,75%,3-5 hrs,30-60 min,Low,Middle,Yes
No,Male,Civil,172,64,69,67,82,Gaming,1-2 hrs,Evening,5-8 LPA,Yes,25%,1-3 hrs,1-2 hrs,Medium,Poor,No
Yes,Male,CS,189,45,63,63,89,Sports,>4 hrs,Night,<3 LPA,No,75%,1-3 hrs,>2 hrs,Low,Middle,No
Yes,Male,Mechanical,165,45,80,89,60,Travelling,2-4 hrs,Evening,<3 LPA,Yes,100%,1-3 hrs,30-60 min,High,Middle,Yes
Yes,Male,Civil,160,75,76,94,77,Travelling,>4 hrs,Morning,>8 LPA,Yes,25%,3-5 hrs,30-60 min,Low,Middle,No
Yes,Female,IT,156,74,76,65,72,Travelling,<1 hr,Night,3-5 LPA,Yes,75%,<1 hr,1-2 hrs,Medium,Poor,Yes
No,Male,Mechanical,175,48,79,69,71,Travelling,>4 hrs,Evening,5-8 LPA,Yes,75%,1-3 hrs,>2 hrs,Medium,Middle,Yes
No,Female,ENTC,169,73,85,67,70,Gaming,2-4 hrs,Night,>8 LPA,Yes,50%,1-3 hrs,1-2 hrs,Medium,Poor,No
No,Male,IT,159,68,74,69,71,Music,1-2 hrs,Morning,3-5 LPA,Yes,75%,1-3 hrs,30-60 min,Medium,Good,No
Yes,Female,IT,174,71,74,68,60,Gaming,<1 hr,Morning,>8 LPA,Yes,50%,<1 hr,1-2 hrs,Medium,Middle,Yes
Yes,Female,CS,167,48,86,76,89,Travelling,2-4 hrs,Night,3-5 LPA,Yes,50%,3-5 hrs,>2 hrs,High,Good,No
Yes,Male,IT,174,45,82,72,80,Travelling,2-4 hrs,Night,<3 LPA,No,50%,<1 hr,30-60 min,Medium,Poor,No
Yes,Male,Civil,180,55,68,84,70,Music,<1 hr,Night,<3 LPA,Yes,50%,1-3 hrs,30-60 min,Medium,Poor,No
No,Male,CS,161,89,76,62,71,Sports,1-2 hrs,Evening,5-8 LPA,Yes,25%,3-5 hrs,>2 hrs,Medium,Middle,No
Yes,Male,ENTC,162,89,59,62,84,Sports,<1 hr,Evening,>8 LPA,Yes,50%,>5 hrs,30-60 min,Medium,Middle,No
Yes,Female,ENTC,150,47,82,83,60,Reading,2-4 hrs,Evening,5-8 LPA,Yes,75%,1-3 hrs,<30 min,Medium,Middle,No
Yes,Female,CS,186,65,94,79,68,Sports,2-4 hrs,Evening,>8 LPA,No,25%,<1 hr,30-60 min,Medium,Middle,No
Yes,Male,Mechanical,157,75,68,74,87,Music,<1 hr,Evening,3-5 LPA,Yes,100%,1-3 hrs,30-60 min,Medium,Middle,No
Yes,Female,Civil,151,77,74,75,82,Reading,2-4 hrs,Night,>8 LPA,Yes,50%,1-3 hrs,>2 hrs,High,Middle,Yes
No,Female,Civil,179,45,79,67,74,Travelling,2-4 hrs,Night,<3 LPA,No,75%,3-5 hrs,>2 hrs,High,Middle,Yes
No,Male,IT,165,45,74,83,74,Gaming,2-4 hrs,Evening,3-5 LPA,Yes,100%,3-5 hrs,<30 min,High,Middle,Yes
Yes,Male,CS,160,74,83,58,84,Gaming,1-2 hrs,Evening,>8 LPA,Yes,75%,1-3 hrs,30-60 min,Medium,Good,No
Yes,Male,Mechanical,189,52,62,94,77,Travelling,2-4 hrs,Evening,>8 LPA,Yes,25%,1-3 hrs,30-60 min,High,Middle,Yes
No,Female,CS,150,74,77,90,89,Reading,<1 hr,Night,>8 LPA,No,75%,1-3 hrs,>2 hrs,Medium,Good,No
No,Female,IT,150,55,55,73,69,Music,2-4 hrs,Morning,3-5 LPA,Yes,50%,1-3 hrs,30-60 min,High,Middle,No
No,Female,IT,176,50,55,50,75,Travelling,2-4 hrs,Night,<3 LPA,Yes,75%,3-5 hrs,<30 min,Low,Poor,Yes
Yes,Male,IT,177,60,73,75,75,Music,1-2 hrs,Morning,>8 LPA,Yes,75%,>5 hrs,>2 hrs,Medium,Good,No
Yes,Male,IT,171,57,85,76,60,Sports,1-2 hrs,Morning,3-5 LPA,No,75%,<1 hr,1-2 hrs,Medium,Poor,No
No,Female,Mechanical,182,47,80,73,80,Sports,>4 hrs,Morning,3-5 LPA,Yes,50%,<1 hr,30-60 min,Low,Middle,No
Yes,Male,CS,189,59,84,52,75,Gaming,<1 hr,Night,<3 LPA,Yes,75%,3-5 hrs,<30 min,Medium,Good,Yes
No,Male,ENTC,159,72,70,59,74,Music,<1 hr,Evening,5-8 LPA,Yes,100%,>5 hrs,30-60 min,Medium,Middle,Yes
Yes,Male,Mechanical,171,78,55,75,77,Reading,1-2 hrs,Morning,3-5 LPA,Yes,75%,>5 hrs,<30 min,High,Middle,No
No,Female,ENTC,176,74,77,93,85,Travelling,1-2 hrs,Night,5-8 LPA,Yes,75%,1-3 hrs,1-2 hrs,Medium,Poor,No
Yes,Male,Mechanical,181,61,80,94,87,Gaming,1-2 hrs,Morning,5-8 LPA,Yes,100%,1-3 hrs,30-60 min,Medium,Good,Yes
Yes,Female,CS,171,76,88,66,76,Reading,1-2 hrs,Night,>8 LPA,Yes,75%,>5 hrs,<30 min,Medium,Middle,No
Yes,Male,ENTC,159,75,67,54,60,Reading,1-2 hrs,Evening,3-5 LPA,No,50%,>5 hrs,1-2 hrs,Medium,Middle,Yes
Yes,Male,CS,173,77,82,69,60,Reading,<1 hr,Morning,3-5 LPA,No,75%,<1 hr,>2 hrs,Low,Good,No
Yes,Male,IT,150,89,75,78,73,Reading,1-2 hrs,Morning,3-5 LPA,Yes,50%,3-5 hrs,<30 min,Low,Middle,No
No,Male,ENTC,181,79,68,74,75,Travelling,1-2 hrs,Evening,<3 LPA,No,100%,1-3 hrs,1-2 hrs,Low,Good,No
No,Male,IT,172,63,72,59,75,Sports,2-4 hrs,Night,3-5 LPA,Yes,50%,3-5 hrs,<30 min,High,Good,Yes
Yes,Male,CS,168,88,64,90,73,Reading,2-4 hrs,Evening,3-5 LPA,Yes,50%,1-3 hrs,<30 min,Medium,Poor,No
Yes,Male,CS,165,56,60,73,76,Sports,2-4 hrs,Evening,<3 LPA,Yes,25%,1-3 hrs,<30 min,Medium,Good,No
Yes,Male,IT,178,77,64,94,74,Music,2-4 hrs,Evening,3-5 LPA,No,50%,1-3 hrs,1-2 hrs,High,Good,Yes
No,Male,CS,187,45,75,77,73,Sports,2-4 hrs,Evening,<3 LPA,Yes,50%,<1 hr,30-60 min,Medium,Middle,No
Yes,Male,IT,189,85,82,91,73,Gaming,2-4 hrs,Evening,5-8 LPA,No,75%,1-3 hrs,30-60 min,Medium,Good,No
Yes,Female,Mechanical,181,50,65,57,78,Travelling,1-2 hrs,Morning,5-8 LPA,Yes,50%,1-3 hrs,30-60 min,Medium,Middle,No
Yes,Female,ENTC,169,55,82,62,68,Sports,>4 hrs,Evening,>8 LPA,Yes,75%,<1 hr,30-60 min,Medium,Middle,No
Yes,Male,ENTC,174,67,90,83,69,Music,2-4 hrs,Evening,3-5 LPA,Yes,100%,1-3 hrs,30-60 min,Medium,Good,Yes
Yes,Male,ENTC,185,63,81,52,71,Music,<1 hr,Evening,5-8 LPA,Yes,75%,<1 hr,<30 min,Medium,Middle,No
Yes,Male,CS,172,65,70,66,60,Music,1-2 hrs,Morning,<3 LPA,Yes,25%,3-5 hrs,30-60 min,Medium,Poor,Yes
Yes,Female,Civil,168,67,78,89,71,Sports,1-2 hrs,Morning,<3 LPA,No,100%,>5 hrs,<30 min,Medium,Middle,Yes
Yes,Female,IT,166,72,73,57,67,Travelling,1-2 hrs,Night,3-5 LPA,Yes,75%,3-5 hrs,30-60 min,Medium,Good,No
Yes,Female,CS,176,89,68,63,75,Sports,1-2 hrs,Night,5-8 LPA,Yes,75%,1-3 hrs,<30 min,High,Poor,Yes
Yes,Female,Mechanical,167,69,78,94,60,Gaming,2-4 hrs,Night,<3 LPA,Yes,100%,<1 hr,<30 min,Low,Middle,No
Yes,Male,ENTC,181,77,73,81,68,Gaming,2-4 hrs,Night,<3 LPA,Yes,50%,>5 hrs,30-60 min,High,Middle,No
Yes,Female,IT,188,73,90,71,72,Gaming,2-4 hrs,Night,<3 LPA,Yes,50%,<1 hr,<30 min,High,Good,No
No,Male,IT,186,77,80,73,69,Sports,<1 hr,Morning,3-5 LPA,Yes,75%,1-3 hrs,1-2 hrs,Medium,Middle,Yes
Yes,Female,CS,167,81,62,82,75,Music,>4 hrs,Morning,3-5 LPA,Yes,75%,<1 hr,30-60 min,Medium,Middle,Yes
Yes,Male,CS,171,51,56,87,87,Travelling,2-4 hrs,Morning,>8 LPA,Yes,75%,<1 hr,>2 hrs,Medium,Middle,Yes
Yes,Male,IT,184,70,73,88,83,Sports,1-2 hrs,Night,3-5 LPA,Yes,75%,1-3 hrs,<30 min,Low,Poor,No
Yes,Male,Civil,163,53,71,64,73,Music,<1 hr,Night,5-8 LPA,No,75%,1-3 hrs,<30 min,Medium,Good,No
Yes,Male,ENTC,181,49,88,68,68,Gaming,<1 hr,Evening,5-8 LPA,No,25%,1-3 hrs,1-2 hrs,Medium,Middle,No
Yes,Female,CS,173,45,87,91,66,Travelling,1-2 hrs,Morning,3-5 LPA,No,75%,1-3 hrs,30-60 min,Medium,Good,No
Yes,Male,CS,175,58,65,56,79,Music,2-4 hrs,Morning,<3 LPA,No,100%,<1 hr,30-60 min,Medium,Good,Yes
Yes,Female,ENTC,168,67,55,94,76,Reading,1-2 hrs,Night,<3 LPA,Yes,100%,3-5 hrs,30-60 min,Low,Good,Yes
No,Male,CS,183,87,81,74,86,Music,2-4 hrs,Night,3-5 LPA,No,50%,3-5 hrs,1-2 hrs,Medium,Middle,Yes
Yes,Male,IT,179,62,77,68,73,Gaming,2-4 hrs,Night,<3 LPA,Yes,50%,3-5 hrs,1-2 hrs,Medium,Poor,No
Yes,Female,ENTC,172,51,64,83,78,Sports,2-4 hrs,Morning,<3 LPA,No,50%,3-5 hrs,30-60 min,Low,Poor,No
Yes,Male,IT,173,65,63,73,72,Travelling,1-2 hrs,Evening,>8 LPA,No,50%,<1 hr,>2 hrs,Medium,Middle,No
No,Male,CS,170,62,73,88,67,Music,1-2 hrs,Evening,<3 LPA,Yes,100%,3-5 hrs,<30 min,Medium,Middle,No
Yes,Female,IT,150,68,71,86,69,Music,<1 hr,Night,5-8 LPA,No,75%,1-3 hrs,<30 min,Medium,Middle,Yes
Yes,Male,CS,181,45,60,67,71,Gaming,2-4 hrs,Morning,5-8 LPA,Yes,50%,1-3 hrs,1-2 hrs,Low,Good,Yes
Yes,Female,Civil,187,70,73,85,80,Music,2-4 hrs,Evening,3-5 LPA,No,25%,1-3 hrs,<30 min,High,Middle,No
Yes,Male,IT,183,73,86,64,60,Gaming,<1 hr,Morning,5-8 LPA,Yes,25%,<1 hr,1-2 hrs,Medium,Middle,Yes
Yes,Male,CS,169,68,81,94,77,Music,2-4 hrs,Morning,<3 LPA,No,50%,1-3 hrs,<30 min,High,Good,Yes
No,Male,IT,176,81,94,71,89,Gaming,<1 hr,Morning,3-5 LPA,No,100%,>5 hrs,30-60 min,Low,Poor,Yes
No,Male,IT,157,66,67,82,77,Sports,2-4 hrs,Evening,<3 LPA,Yes,100%,3-5 hrs,30-60 min,Low,Poor,Yes
No,Male,CS,168,89,55,87,60,Travelling,2-4 hrs,Night,3-5 LPA,No,100%,1-3 hrs,1-2 hrs,Medium,Good,Yes
No,Female,CS,153,58,63,69,62,Gaming,2-4 hrs,Morning,5-8 LPA,Yes,75%,1-3 hrs,<30 min,Medium,Poor,No
Yes,Male,ENTC,181,80,72,81,72,Music,1-2 hrs,Morning,3-5 LPA,No,75%,3-5 hrs,<30 min,Medium,Good,Yes
No,Male,CS,165,51,92,62,89,Reading,1-2 hrs,Night,3-5 LPA,Yes,25%,>5 hrs,<30 min,Low,Middle,Yes
No,Female,Mechanical,177,69,86,94,73,Travelling,>4 hrs,Night,>8 LPA,No,75%,>5 hrs,<30 min,Low,Good,No
Yes,Female,Civil,151,69,61,81,60,Gaming,1-2 hrs,Morning,5-8 LPA,Yes,50%,1-3 hrs,30-60 min,High,Middle,Yes
Yes,Female,Mechanical,157,51,55,69,82,Gaming,>4 hrs,Evening,3-5 LPA,No,75%,1-3 hrs,<30 min,Low,Middle,Yes
Yes,Female,Mechanical,176,56,64,73,71,Sports,2-4 hrs,Evening,5-8 LPA,Yes,75%,<1 hr,<30 min,Medium,Middle,Yes
Yes,Male,Civil,189,53,84,94,89,Reading,>4 hrs,Night,<3 LPA,Yes,50%,<1 hr,<30 min,Low,Poor,No
Yes,Female,IT,176,56,79,52,71,Gaming,>4 hrs,Evening,3-5 LPA,Yes,25%,<1 hr,30-60 min,Medium,Middle,No
Yes,Male,IT,177,89,94,70,66,Reading,>4 hrs,Morning,<3 LPA,Yes,100%,<1 hr,1-2 hrs,Low,Poor,Yes
No,Female,CS,171,50,80,88,85,Sports,2-4 hrs,Morning,3-5 LPA,Yes,25%,1-3 hrs,<30 min,High,Middle,No
Yes,Male,IT,162,82,82,50,78,Sports,<1 hr,Night,5-8 LPA,Yes,50%,1-3 hrs,30-60 min,Medium,Poor,Yes
No,Male,CS,165,50,94,75,85,Reading,1-2 hrs,Morning,<3 LPA,Yes,100%,1-3 hrs,<30 min,Low,Good,Yes
Yes,Male,CS,188,60,66,69,73,Music,>4 hrs,Night,3-5 LPA,Yes,100%,1-3 hrs,30-60 min,High,Middle,No
No,Male,Civil,166,89,78,86,89,Gaming,<1 hr,Evening,<3 LPA,No,50%,<1 hr,<30 min,Medium,Poor,Yes
Yes,Female,IT,168,71,64,86,63,Gaming,2-4 hrs,Evening,5-8 LPA,Yes,25%,>5 hrs,<30 min,Low,Middle,No
No,Female,CS,169,85,58,76,84,Reading,2-4 hrs,Night,<3 LPA,Yes,75%,1-3 hrs,>2 hrs,Low,Good,No
No,Female,CS,168,77,58,79,67,Reading,>4 hrs,Evening,<3 LPA,No,25%,3-5 hrs,>2 hrs,Medium,Middle,No
Yes,Male,ENTC,184,80,94,50,77,Gaming,2-4 hrs,Morning,>8 LPA,Yes,25%,>5 hrs,1-2 hrs,Low,Good,No
Yes,Male,ENTC,150,59,74,71,69,Travelling,2-4 hrs,Morning,>8 LPA,Yes,75%,1-3 hrs,<30 min,Low,Middle,No
Yes,Female,CS,179,69,91,77,79,Reading,2-4 hrs,Morning,3-5 LPA,No,75%,3-5 hrs,30-60 min,Medium,Middle,No
No,Male,CS,172,72,85,50,72,Music,2-4 hrs,Morning,3-5 LPA,Yes,100%,1-3 hrs,<30 min,High,Good,Yes
Yes,Male,IT,165,57,69,59,69,Sports,2-4 hrs,Evening,<3 LPA,No,100%,<1 hr,<30 min,Medium,Middle,No
Yes,Male,IT,169,71,85,65,84,Music,2-4 hrs,Evening,>8 LPA,Yes,100%,1-3 hrs,>2 hrs,Medium,Middle,No
No,Male,Mechanical,163,62,83,81,65,Music,2-4 hrs,Morning,3-5 LPA,Yes,100%,<1 hr,>2 hrs,Medium,Good,No
Yes,Male,IT,158,63,61,94,77,Music,>4 hrs,Evening,<3 LPA,Yes,50%,1-3 hrs,<30 min,Medium,Good,Yes
No,Male,Civil,180,79,69,86,75,Sports,<1 hr,Night,3-5 LPA,Yes,50%,1-3 hrs,<30 min,Low,Poor,No
Yes,Male,CS,160,67,62,59,89,Gaming,>4 hrs,Evening,3-5 LPA,No,75%,1-3 hrs,30-60 min,Medium,Middle,No
Yes,Female,CS,156,63,77,94,76,Sports,2-4 hrs,Night,<3 LPA,Yes,75%,<1 hr,<30 min,Medium,Middle,No
Yes,Female,IT,157,71,70,70,66,Reading,<1 hr,Evening,5-8 LPA,No,25%,3-5 hrs,>2 hrs,Medium,Middle,No
No,Male,CS,186,89,77,56,79,Reading,2-4 hrs,Morning,3-5 LPA,Yes,50%,1-3 hrs,>2 hrs,Medium,Poor,No
Yes,Male,CS,185,56,72,64,79,Travelling,1-2 hrs,Evening,3-5 LPA,Yes,75%,1-3 hrs,<30 min,Low,Good,No
Yes,Male,ENTC,177,67,55,58,80,Sports,2-4 hrs,Morning,<3 LPA,No,75%,<1 hr,>2 hrs,Medium,Middle,Yes
No,Male,IT,173,52,75,50,69,Travelling,<1 hr,Morning,>8 LPA,Yes,50%,<1 hr,30-60 min,High,Good,Yes
No,Male,CS,164,89,83,81,69,Music,>4 hrs,Morning,3-5 LPA,No,50%,<1 hr,1-2 hrs,Medium,Middle,No
Yes,Male,CS,168,73,58,83,69,Gaming,<1 hr,Morning,3-5 LPA,Yes,50%,3-5 hrs,1-2 hrs,High,Middle,No
No,Male,ENTC,169,73,80,62,73,Gaming,1-2 hrs,Night,<3 LPA,Yes,75%,3-5 hrs,<30 min,Medium,Middle,No
No,Male,Mechanical,180,70,57,86,76,Travelling,1-2 hrs,Night,3-5 LPA,Yes,50%,1-3 hrs,1-2 hrs,Medium,Middle,Yes
Yes,Male,CS,169,57,82,77,68,Reading,1-2 hrs,Evening,>8 LPA,Yes,25%,<1 hr,1-2 hrs,Medium,Good,No
Yes,Male,ENTC,185,52,70,56,62,Travelling,<1 hr,Morning,3-5 LPA,Yes,100%,1-3 hrs,<30 min,Medium,Middle,No
No,Female,Civil,154,45,80,68,60,Gaming,2-4 hrs,Evening,<3 LPA,No,100%,3-5 hrs,30-60 min,Low,Middle,No
Yes,Male,IT,150,53,72,74,77,Sports,2-4 hrs,Morning,5-8 LPA,Yes,50%,<1 hr,>2 hrs,Medium,Middle,Yes
Yes,Male,CS,167,82,94,73,74,Music,2-4 hrs,Morning,3-5 LPA,Yes,75%,<1 hr,<30 min,Low,Good,Yes
No,Male,Mechanical,180,64,81,50,75,Reading,1-2 hrs,Morning,3-5 LPA,Yes,25%,1-3 hrs,1-2 hrs,Medium,Poor,No
Yes,Male,Civil,166,57,92,67,68,Reading,<1 hr,Evening,3-5 LPA,No,50%,1-3 hrs,>2 hrs,Medium,Middle,No
Yes,Male,Mechanical,171,56,55,85,80,Sports,1-2 hrs,Evening,3-5 LPA,Yes,50%,1-3 hrs,1-2 hrs,Medium,Good,No
No,Female,CS,161,71,85,78,75,Sports,1-2 hrs,Night,3-5 LPA,Yes,100%,>5 hrs,30-60 min,Medium,Middle,No
Yes,Male,Mechanical,165,69,72,64,68,Gaming,2-4 hrs,Evening,3-5 LPA,Yes,75%,1-3 hrs,1-2 hrs,Low,Middle,No
Yes,Male,CS,167,45,84,76,60,Music,1-2 hrs,Morning,5-8 LPA,Yes,50%,>5 hrs,>2 hrs,Low,Poor,No
Yes,Male,ENTC,163,78,69,59,64,Music,1-2 hrs,Morning,5-8 LPA,Yes,100%,3-5 hrs,30-60 min,Medium,Middle,No
Yes,Male,Mechanical,150,53,81,67,78,Reading,<1 hr,Evening,3-5 LPA,Yes,100%,<1 hr,30-60 min,High,Good,No
No,Male,IT,150,61,74,61,77,Music,2-4 hrs,Morning,3-5 LPA,Yes,25%,<1 hr,30-60 min,Medium,Middle,No
No,Female,CS,179,73,58,77,78,Reading,2-4 hrs,Morning,3-5 LPA,No,50%,1-3 hrs,1-2 hrs,High,Middle,No
Yes,Male,ENTC,158,82,69,73,75,Gaming,2-4 hrs,Evening,<3 LPA,Yes,75%,1-3 hrs,<30 min,Low,Good,No
No,Male,Mechanical,171,89,76,65,82,Gaming,<1 hr,Morning,>8 LPA,Yes,100%,1-3 hrs,1-2 hrs,High,Middle,No
Yes,Male,CS,166,69,73,63,70,Gaming,1-2 hrs,Evening,<3 LPA,Yes,75%,<1 hr,1-2 hrs,Low,Middle,No
Yes,Male,CS,152,49,74,81,78,Gaming,2-4 hrs,Night,3-5 LPA,Yes,50%,1-3 hrs,<30 min,Medium,Poor,No
Yes,Female,IT,158,78,73,59,73,Gaming,<1 hr,Morning,>8 LPA,Yes,75%,1-3 hrs,<30 min,Low,Good,Yes
Yes,Male,CS,174,84,55,50,84,Music,2-4 hrs,Morning,<3 LPA,Yes,100%,>5 hrs,30-60 min,High,Middle,Yes
Yes,Female,Mechanical,182,61,65,61,87,Music,>4 hrs,Evening,<3 LPA,Yes,50%,3-5 hrs,>2 hrs,Medium,Middle,No
No,Male,ENTC,186,79,70,78,68,Gaming,1-2 hrs,Evening,>8 LPA,Yes,100%,3-5 hrs,1-2 hrs,Low,Middle,No
Yes,Male,CS,165,83,68,85,87,Travelling,<1 hr,Night,3-5 LPA,Yes,75%,3-5 hrs,1-2 hrs,Low,Middle,Yes
Yes,Male,Mechanical,150,45,72,70,89,Sports,1-2 hrs,Evening,3-5 LPA,Yes,100%,<1 hr,1-2 hrs,Medium,Middle,No
Yes,Male,CS,164,73,94,79,81,Travelling,2-4 hrs,Morning,<3 LPA,No,75%,>5 hrs,<30 min,Low,Middle,No
No,Male,IT,175,67,70,82,73,Music,1-2 hrs,Night,3-5 LPA,Yes,50%,<1 hr,1-2 hrs,Low,Middle,No
Yes,Male,CS,167,57,63,85,73,Gaming,1-2 hrs,Night,3-5 LPA,No,100%,<1 hr,>2 hrs,Medium,Middle,Yes
Yes,Male,ENTC,178,62,81,70,72,Sports,2-4 hrs,Night,3-5 LPA,Yes,50%,1-3 hrs,30-60 min,Low,Good,No
No,Female,IT,171,67,90,91,82,Gaming,2-4 hrs,Morning,3-5 LPA,Yes,25%,1-3 hrs,>2 hrs,Medium,Middle,No
Yes,Female,ENTC,161,89,66,74,60,Music,>4 hrs,Evening,3-5 LPA,Yes,100%,1-3 hrs,30-60 min,Medium,Good,No
Yes,Male,CS,188,72,94,56,68,Gaming,1-2 hrs,Evening,<3 LPA,Yes,75%,>5 hrs,<30 min,High,Poor,No
Yes,Female,ENTC,189,68,55,50,81,Reading,<1 hr,Evening,3-5 LPA,Yes,75%,<1 hr,<30 min,High,Poor,No
Yes,Male,IT,171,72,84,76,72,Music,1-2 hrs,Night,3-5 LPA,Yes,75%,3-5 hrs,1-2 hrs,Low,Middle,No
Yes,Female,CS,150,80,72,61,86,Gaming,1-2 hrs,Night,>8 LPA,Yes,50%,<1 hr,1-2 hrs,Medium,Good,No
Yes,Female,CS,161,61,67,50,68,Gaming,>4 hrs,Morning,5-8 LPA,No,100%,3-5 hrs,<30 min,Medium,Poor,No
Yes,Male,IT,183,72,87,86,71,Reading,>4 hrs,Evening,<3 LPA,Yes,50%,>5 hrs,30-60 min,Medium,Middle,Yes
No,Female,CS,174,70,94,91,75,Travelling,<1 hr,Night,<3 LPA,No,75%,<1 hr,>2 hrs,Low,Middle,No
Yes,Male,Civil,159,68,59,78,66,Music,2-4 hrs,Evening,5-8 LPA,Yes,100%,1-3 hrs,<30 min,High,Poor,Yes
Yes,Female,CS,175,67,82,66,81,Sports,1-2 hrs,Night,3-5 LPA,Yes,100%,3-5 hrs,30-60 min,High,Poor,Yes
Yes,Male,IT,166,56,69,71,77,Reading,1-2 hrs,Morning,3-5 LPA,No,75%,1-3 hrs,30-60 min,Medium,Middle,Yes
No,Female,Mechanical,175,58,76,61,84,Sports,1-2 hrs,Morning,3-5 LPA,No,50%,1-3 hrs,<30 min,High,Middle,No
No,Female,Mechanical,159,66,59,75,75,Music,1-2 hrs,Night,<3 LPA,Yes,50%,1-3 hrs,<30 min,Low,Middle,No
Yes,Male,CS,168,69,79,66,78,Sports,1-2 hrs,Night,3-5 LPA,Yes,50%,3-5 hrs,<30 min,High,Middle,No
Yes,Male,Civil,164,46,88,53,67,Gaming,1-2 hrs,Morning,<3 LPA,Yes,75%,3-5 hrs,<30 min,High,Middle,No
Yes,Female,IT,161,60,85,76,77,Travelling,1-2 hrs,Morning,3-5 LPA,Yes,75%,3-5 hrs,<30 min,Medium,Good,No
Yes,Female,Civil,175,62,58,62,74,Music,>4 hrs,Night,5-8 LPA,Yes,25%,1-3 hrs,<30 min,Medium,Good,Yes
No,Male,Mechanical,175,77,71,92,80,Music,1-2 hrs,Night,>8 LPA,Yes,75%,3-5 hrs,1-2 hrs,Medium,Poor,Yes
Yes,Male,IT,165,66,81,60,77,Sports,1-2 hrs,Night,>8 LPA,Yes,75%,3-5 hrs,<30 min,Low,Middle,No
Yes,Male,IT,150,48,82,67,76,Gaming,2-4 hrs,Evening,5-8 LPA,Yes,50%,1-3 hrs,>2 hrs,High,Middle,Yes
Yes,Male,Mechanical,169,82,73,82,78,Sports,2-4 hrs,Evening,3-5 LPA,No,25%,3-5 hrs,30-60 min,Medium,Middle,No
